step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
22400,16754,6744,3,0,101,1,632,0,2358,1,5642,0,20,456,2332,3,6,42990,0,0,0,1,0,21,12,1,3,4,0,-1,0,0,-1,0,0
22600,16815,6805,3,0,102,1,639,3,2331,2,5658,0,20,453,2364,3,6,42996,0,0,0,0,0,23,13,1,3,5,0,-1,0,0,-1,0,0
22800,16881,6871,3,0,101,1,648,2,2370,1,5667,0,20,450,2369,3,6,43002,0,1,0,0,0,23,13,0,3,1,0,-1,0,0,-1,0,0
23000,16940,6930,3,0,103,1,648,2,2350,0,5639,0,20,483,2352,2,4,43006,0,0,0,0,0,23,13,0,3,2,0,-1,0,0,-1,0,0
23200,17007,6997,3,0,102,0,639,0,2365,2,5652,0,20,469,2344,2,4,43010,0,0,0,0,0,23,13,0,3,3,0,-1,0,0,-1,0,0
23400,17056,7046,3,0,101,0,636,2,2395,2,5629,0,20,480,2374,5,10,43020,0,2,0,1,0,23,13,0,3,3,0,-1,0,0,-1,0,0
23600,17116,7106,3,0,102,1,627,1,2332,2,5658,0,20,488,2387,6,12,43032,0,1,0,1,0,23,15,0,3,0,0,-1,0,0,-1,0,0
23800,17174,7164,3,0,104,0,637,3,2372,1,5677,0,20,483,2338,6,12,43044,0,0,0,0,0,23,15,0,3,1,0,-1,0,0,-1,0,0
24000,17249,7239,3,0,99,1,657,2,2386,0,5658,0,20,498,2375,5,10,43054,0,0,0,0,0,23,13,0,3,3,0,-1,0,0,-1,0,0
24200,17310,7300,3,0,102,0,644,0,2371,1,5671,0,20,512,2386,5,10,43064,0,0,0,1,0,23,14,0,5,6,1,3,2,0,-1,0,0
24400,17373,7363,3,0,101,0,661,0,2419,0,5682,0,20,479,2368,4,8,43072,0,0,0,0,0,23,9,0,7,8,1,3,3,0,-1,0,0
24600,17439,7429,3,0,102,2,637,0,2363,2,5646,0,20,473,2332,4,8,43080,0,0,0,0,0,23,12,0,9,5,1,3,2,0,-1,0,0
24800,17504,7494,3,0,101,0,653,2,2385,0,5639,0,20,463,2350,7,14,43094,0,3,0,0,0,23,10,0,11,4,1,3,2,0,-1,0,0
25000,17557,7547,3,0,101,0,625,1,2353,3,5650,0,20,447,2428,8,16,43110,0,0,0,1,0,23,16,0,13,5,1,3,3,0,-1,0,0
25200,17613,7603,3,0,106,0,648,1,2368,3,5654,0,20,439,2342,7,14,43124,0,0,0,0,0,23,10,0,15,7,1,3,0,0,-1,0,0
25400,17682,7672,3,0,101,0,641,2,2405,2,5638,0,20,535,2448,8,16,43140,0,0,3,1,0,23,17,0,15,9,0,3,1,0,-1,0,0
25600,17733,7723,3,0,100,0,653,5,2391,1,5676,0,20,486,2383,9,18,43158,0,0,0,1,0,23,13,0,15,8,0,3,5,0,-1,0,0
