step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
13000,13009,3936,-1,0,100,0,627,0,2168,0,5235,0,20,465,2238,0,0,37871,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13200,13209,3996,-1,0,101,0,622,0,2235,0,5340,0,20,443,2172,0,0,38452,0,2,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13400,13409,4058,-1,0,99,0,630,0,2268,0,5461,0,20,514,2264,0,0,39028,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13600,13609,4112,-1,0,102,0,650,0,2306,0,5569,0,20,486,2329,0,0,39596,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13800,13809,4175,-1,0,102,0,643,0,2312,0,5601,0,20,508,2255,0,0,40188,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14000,14009,4227,-1,0,100,0,626,0,2292,0,5725,0,20,520,2341,0,0,40777,0,0,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14200,14209,4282,-1,0,100,0,619,0,2322,0,5758,0,20,511,2300,0,0,41372,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14400,14338,4328,-1,0,100,0,636,0,2359,0,5808,0,20,421,2281,0,0,41677,0,1,4,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14600,14406,4396,-1,0,99,0,635,0,2316,0,5805,0,20,461,2387,0,0,41677,0,2,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14800,14464,4454,-1,0,100,0,627,0,2336,0,5741,0,20,461,2314,0,0,41677,0,0,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15000,14522,4512,-1,0,102,0,631,0,2283,0,5841,0,20,503,2351,0,0,41677,0,1,1,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15200,14591,4581,3,0,104,1,627,3,2362,7,5805,0,20,522,2358,0,0,41677,0,0,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15400,14660,4650,3,0,97,3,635,1,2338,6,5771,0,20,497,2385,0,0,41677,0,0,0,3,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15600,14719,4709,3,0,102,1,629,4,2315,10,5802,0,20,424,2335,0,0,41677,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15800,14780,4770,3,0,104,0,627,5,2316,7,5798,0,20,510,2364,0,0,41677,0,0,0,3,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16000,14851,4841,3,0,101,0,640,1,2366,3,5798,0,20,508,2342,0,0,41677,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16200,14909,4899,3,0,102,1,640,1,2320,10,5786,0,20,448,2317,0,0,41677,0,2,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16400,14972,4962,3,0,104,0,627,3,2333,10,5817,0,20,451,2342,0,0,41677,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16600,15031,5021,3,0,102,0,601,2,2334,7,5794,0.045,20,457,2374,0,0,41677,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16800,15090,5080,3,0,96,1,635,2,2354,5,5760,0.0801,20,500,2327,0,0,41677,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17000,15140,5130,3,0,99,0,619,3,2344,7,5794,0.0623,20,512,2334,0,0,41677,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17200,15199,5189,3,0,100,1,650,3,2344,7,5780,0.0781,20,505,2306,0,0,41677,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17400,15274,5264,3,0,102,0,640,0,2345,7,5783,0.0902,20,441,2310,0,0,41677,0,2,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17600,15328,5318,3,0,98,0,649,3,2314,8,5806,0.0693,20,478,2346,0,0,41677,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17800,15384,5374,3,0,98,0,618,1,2323,7,5770,0.0526,20,482,2357,0,0,41677,0,2,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
18000,15437,5427,3,0,102,0,640,1,2366,8,5815,0.1293,20,477,2306,0,0,41677,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
18200,15499,5489,3,0,102,3,631,1,2340,6,5808,0.1247,20,519,2378,0,0,41677,1,2,1,2,2,3,5,0,-1,0,0,-1,0,0,-1,0,0
18400,15560,5550,3,0,100,1,638,5,2387,9,5793,0.0966,20,470,2338,0,0,41677,1,2,0,0,2,3,4,0,-1,0,0,-1,0,0,-1,0,0
18600,15611,5601,3,1,103,0,645,1,2342,5,5815,0.0973,20,480,2381,0,0,41677,1,0,0,1,2,3,1,0,-1,0,0,-1,0,0,-1,0,0
18800,15665,5655,3,0,99,1,632,4,2331,10,5800,0.0729,20,470,2329,0,0,41677,1,1,0,1,2,3,5,0,-1,0,0,-1,0,0,-1,0,0
19000,15717,5707,3,0,101,2,617,4,2347,2,5787,0.0533,20,471,2339,0,0,41677,1,0,0,1,2,3,1,0,-1,0,0,-1,0,0,-1,0,0
19200,15777,5767,3,0,103,0,616,1,2354,5,5801,0.0376,20,478,2340,0,0,41677,1,0,0,0,2,3,1,0,-1,0,0,-1,0,0,-1,0,0
19400,15838,5828,3,0,102,0,633,4,2320,9,5810,0.0251,20,497,2367,0,0,41677,1,0,0,0,2,3,1,0,-1,0,0,-1,0,0,-1,0,0
19600,15905,5895,3,0,102,1,617,2,2302,7,5805,0.0141,20,488,2342,0,0,41677,0,0,0,0,2,3,2,0,-1,0,0,-1,0,0,-1,0,0
19800,15971,5961,3,0,104,1,631,2,2322,6,5815,0.0066,20,492,2341,0,0,41677,0,0,0,2,2,3,3,0,-1,0,0,-1,0,0,-1,0,0
20000,16027,6017,3,1,98,1,622,3,2359,10,5790,0.0007,20,442,2328,0,0,41677,0,0,0,0,2,3,3,0,-1,0,0,-1,0,0,-1,0,0
20200,16089,6079,3,0,102,2,622,1,2361,9,5799,0,20,491,2337,0,0,41677,0,1,0,0,2,3,3,1,-1,0,0,-1,0,0,-1,0,0
20400,16151,6141,3,1,102,1,641,5,2306,8,5791,0,20,481,2358,0,0,41677,0,1,0,0,2,3,7,1,-1,0,0,-1,0,0,-1,0,0
20600,16216,6206,3,0,99,0,613,3,2364,7,5777,0,20,471,2338,0,0,41677,0,0,0,0,2,3,4,1,-1,0,0,-1,0,0,-1,0,0
20800,16287,6277,3,0,105,0,616,1,2311,8,5812,0,20,463,2317,0,0,41677,0,0,0,1,2,3,1,1,-1,0,0,-1,0,0,-1,0,0
21000,16352,6342,3,0,101,1,630,6,2310,7,5820,0,20,508,2326,0,0,41677,0,0,0,1,2,3,6,1,-1,0,0,-1,0,0,-1,0,0
21200,16412,6402,3,0,99,0,600,0,2388,6,5788,0,20,414,2328,0,0,41677,0,0,0,0,2,3,2,1,3,1,0,-1,0,0,-1,0,0
21400,16481,6471,3,0,100,0,621,2,2366,8,5801,0,20,451,2347,0,0,41677,0,0,0,0,2,3,2,1,3,1,0,-1,0,0,-1,0,0
21600,16540,6530,3,0,103,0,629,2,2390,6,5783,0,20,439,2330,0,0,41677,0,0,0,1,2,3,4,1,3,1,0,-1,0,0,-1,0,0
21800,16597,6587,3,0,104,0,649,4,2357,8,5792,0,20,498,2345,0,0,41677,0,0,0,1,2,3,6,1,3,3,0,-1,0,0,-1,0,0
22000,16665,6655,3,0,98,0,634,1,2342,8,5784,0,20,501,2339,0,0,41677,0,0,0,1,2,3,5,1,3,4,0,-1,0,0,-1,0,0
