step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
23400,17031,7021,33,1,108,6,693,12,2520,20,5721,0,20,526,2519,1,2,50277,0,0,0,0,1,3,0,0,3,2,0,-1,0,0,-1,0,0
23600,17100,7090,33,1,106,5,653,18,2541,20,5784,0,20,546,2574,1,2,50452,0,0,0,0,1,3,1,0,3,1,0,-1,0,0,-1,0,0
23800,17161,7151,33,0,106,2,683,12,2574,19,5795,0,20,491,2572,1,2,50627,0,0,0,1,1,3,0,0,3,1,0,-1,0,0,-1,0,0
24000,17207,7197,33,1,108,7,693,15,2537,20,5744,0,20,560,2538,1,2,50760,0,0,0,0,1,3,2,0,3,2,0,-1,0,0,-1,0,0
24200,17261,7251,33,0,106,6,697,15,2508,20,5737,0,20,522,2548,1,2,50906,0,0,0,0,1,3,1,0,3,3,0,3,2,0,-1,0,0
24400,17323,7313,33,1,107,6,711,11,2552,20,5741,0,20,562,2555,3,6,51088,0,0,0,2,1,3,1,0,3,2,0,3,2,0,-1,0,0
24600,17381,7371,33,0,109,5,685,14,2533,20,5766,0,20,539,2549,3,6,51246,0,0,0,0,1,3,1,0,3,3,0,3,4,0,-1,0,0
24800,17441,7431,32,0,105,5,692,14,2542,20,5763,0,20,567,2551,3,6,51406,0,0,0,0,1,3,1,0,3,2,0,3,2,0,-1,0,0
25000,17509,7499,32,0,107,5,683,16,2622,20,5750,0,20,508,2555,5,10,51598,0,0,0,2,1,3,2,0,3,5,0,3,1,0,-1,0,0
25200,17569,7559,32,0,103,6,692,16,2572,20,5741,0,20,511,2518,4,8,51779,0,0,0,0,1,3,0,0,3,3,0,3,4,0,-1,0,0
25400,17629,7619,32,2,107,2,689,12,2530,20,5689,0,20,536,2538,4,8,51955,0,0,1,0,1,3,0,0,3,3,0,3,1,0,-1,0,0
25600,17680,7670,32,0,106,6,709,13,2526,20,5737,0,20,527,2539,5,10,52108,0,1,0,1,1,3,2,0,3,3,0,3,2,0,-1,0,0
25800,17736,7726,32,0,105,6,682,15,2533,20,5722,0,20,601,2522,4,8,52266,0,0,0,0,1,3,0,0,3,6,0,3,1,0,-1,0,0
26000,17793,7783,32,1,108,4,691,16,2544,20,5698,0,20,515,2565,2,4,52428,0,0,0,0,1,3,1,0,3,4,0,3,2,0,-1,0,0
26200,17849,7839,32,0,107,5,686,11,2591,20,5710,0,20,482,2553,2,4,52582,0,0,0,1,1,3,3,0,3,3,0,3,1,0,-1,0,0
26400,17908,7898,32,0,106,10,712,18,2526,20,5691,0,20,491,2511,3,6,52752,0,1,0,0,1,3,2,0,3,2,0,3,3,0,-1,0,0
26600,17958,7948,32,0,107,6,680,16,2573,20,5685,0,20,482,2589,3,6,52905,0,0,0,0,1,3,2,0,3,4,0,3,2,0,-1,0,0
26800,18020,8010,32,0,108,2,701,16,2561,20,5665,0,20,515,2517,2,4,53085,0,0,0,0,1,3,2,0,3,1,0,3,2,0,-1,0,0
27000,18081,8071,33,0,108,3,690,15,2536,19,5664,0,20,562,2545,3,6,53261,0,0,0,1,1,3,0,0,3,3,0,3,1,0,-1,0,0
27200,18148,8138,33,0,108,5,718,16,2532,20,5629,0,20,508,2532,3,6,53450,0,0,0,1,1,3,3,0,3,3,0,3,1,0,3,3,0
27400,18199,8189,33,0,109,3,689,16,2587,19,5679,0,20,519,2585,3,6,53567,0,0,0,0,1,3,1,0,3,2,0,3,1,0,3,1,0
27600,18261,8251,33,1,107,6,709,17,2591,20,5675,0,20,544,2568,2,4,53733,0,1,0,0,1,3,0,0,3,3,0,3,1,0,3,2,0
27800,18329,8319,33,0,107,5,688,14,2570,20,5757,0,20,577,2622,2,4,53919,0,0,0,1,1,3,1,0,3,1,0,3,4,0,3,2,0
28000,18389,8379,33,2,105,3,708,17,2571,19,5724,0,20,502,2586,3,6,54089,0,1,0,0,1,3,0,0,3,1,0,3,1,0,3,2,0
28200,18448,8438,33,0,109,4,710,15,2587,20,5676,0,20,550,2618,3,6,54264,0,1,0,0,1,3,2,0,3,5,0,3,3,0,3,2,0
28400,18495,8485,33,0,108,5,721,14,2576,20,5705,0,20,537,2604,3,6,54396,0,0,0,0,1,3,1,0,3,1,0,3,2,0,3,3,0
28600,18557,8547,33,0,105,5,722,14,2601,20,5686,0,20,525,2583,3,6,54562,0,0,0,0,1,3,2,0,3,2,0,3,0,0,3,0,0
28800,18611,8601,33,1,107,5,691,12,2542,20,5650,0,20,532,2577,3,6,54723,0,0,0,1,1,3,3,0,3,5,0,3,0,0,3,1,0
29000,18675,8665,33,1,108,4,707,14,2606,20,5619,0,20,519,2569,3,6,54913,0,0,0,0,1,3,4,0,3,1,0,3,1,0,3,3,0
29200,18739,8729,33,0,108,3,717,15,2561,20,5646,0,20,497,2566,2,4,55098,0,0,0,1,1,3,2,0,3,4,0,3,0,0,3,2,0
29400,18799,8789,33,1,108,6,687,12,2545,19,5639,0,20,522,2551,2,4,55271,0,0,0,0,1,3,0,0,3,5,0,3,3,0,3,1,0
29600,18861,8851,33,1,107,2,712,12,2573,20,5594,0,20,555,2599,2,4,55432,0,1,0,0,1,3,4,0,3,1,0,3,3,0,3,1,0
29800,18920,8910,33,0,110,3,701,14,2561,19,5598,0,20,572,2558,3,6,55601,0,1,0,0,1,3,2,0,3,4,0,3,2,0,5,4,1
30000,18979,8969,33,0,107,4,710,10,2581,20,5568,0,20,538,2558,2,4,55776,0,0,0,0,1,3,0,0,3,1,0,3,3,0,7,5,1
30200,19045,9035,33,1,107,8,717,12,2548,20,5543,0,20,549,2532,3,6,55967,0,0,0,1,1,3,0,0,3,5,0,3,1,0,9,5,1
30400,19110,9100,33,0,108,6,694,14,2589,20,5538,0,20,524,2574,3,6,56142,0,0,0,0,1,3,2,0,3,3,0,3,0,0,11,5,1
30600,19170,9160,33,0,110,4,701,18,2628,19,5605,0,20,493,2640,5,10,56264,0,1,0,1,1,3,0,0,3,2,0,3,1,0,13,9,1
30800,19221,9211,33,1,107,8,714,14,2582,18,5581,0,20,589,2600,4,8,56413,0,0,0,0,1,3,1,0,3,4,0,3,3,0,15,13,1
31000,19287,9277,33,0,110,7,711,14,2597,19,5581,0,20,542,2623,3,6,56604,0,0,0,0,1,3,1,0,3,5,0,3,3,0,17,11,1
31200,19352,9342,33,0,105,5,717,13,2616,19,5556,0,20,548,2588,4,8,56798,0,0,0,1,1,3,1,0,3,4,0,3,2,0,19,12,1
31400,19416,9406,33,1,110,3,726,13,2594,20,5529,0,20,519,2591,4,8,56990,0,0,0,1,1,3,0,0,3,4,0,3,2,0,21,8,1
31600,19474,9464,33,0,109,4,715,14,2578,20,5502,0,20,541,2600,4,8,57162,0,0,0,2,1,3,1,0,3,1,0,3,0,0,21,13,0
31800,19534,9524,33,0,108,5,719,16,2616,19,5506,0,20,518,2602,4,8,57343,0,0,0,0,1,3,2,0,3,6,0,3,2,0,21,12,0
32000,19597,9587,33,0,109,4,720,13,2623,20,5514,0,20,504,2610,3,6,57506,0,0,0,1,1,3,1,0,3,2,0,3,1,0,21,16,0
32200,19663,9653,33,0,107,4,725,17,2589,20,5497,0,20,531,2609,2,4,57700,0,0,0,0,1,3,0,0,3,2,0,3,2,0,21,11,0
